# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = binomial_glm_model
# start_datetime = 2023-01-28 03:20:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = binGLM.Data.list.dump.R
# init = 2 (Default)
# random
#   seed = 4253945772 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11
# Adaptation terminated
# Step size = 0.179656
# Diagonal elements of inverse mass matrix:
# 0.0682771, 0.133627, 0.0883122, 0.0290179, 0.109453, 0.253552, 0.130899, 0.129822, 0.293526, 0.123081, 0.216768
-491.856,0.799216,0.179656,4,15,0,496.346,-1.65986,1.24597,2.60498,-1.70812,1.44385,4.18857,-0.752354,-0.393641,-2.07344,-1.03596,-2.13557
-492.285,0.991662,0.179656,5,31,0,498.42,-0.916035,0.898674,1.58451,-1.57916,1.01056,2.82938,-0.724318,-0.267961,-0.996164,-0.676318,-0.0653338
-489.985,1,0.179656,4,15,0,496.215,-1.04493,1.14703,1.62858,-1.75968,1.07903,2.74493,-0.306064,-0.574185,-1.16082,-0.452598,-0.449567
-486.504,0.988589,0.179656,4,15,0,493.805,-1.31791,0.56926,1.90256,-1.34974,1.18617,4.18276,-0.253322,-0.247459,-1.5086,-0.528258,-1.4548
-486.119,0.929685,0.179656,4,15,0,487.966,-1.37119,0.603339,1.90571,-1.33753,1.1225,4.00574,-0.162723,0.0180428,-1.45232,-0.585657,-1.50033
-490.448,0.956673,0.179656,5,31,0,494.621,-1.38122,0.203087,2.12362,-1.23284,1.45921,3.81326,0.283044,-0.10189,-0.828035,-1.30243,-2.29069
-488.72,0.73831,0.179656,4,15,0,494.991,-1.54576,0.450277,2.26364,-1.63576,1.65728,3.9106,-0.34442,-0.0848019,-0.659735,-1.04785,-2.15538
-487.431,0.868741,0.179656,5,31,0,494.251,-1.47533,1.41229,2.02732,-1.53406,1.17989,4.43828,-0.802323,-0.676697,-1.97545,-0.369692,-1.12729
-487.743,0.898146,0.179656,5,31,0,490.28,-1.31486,1.23414,1.86202,-1.62942,1.32951,4.21228,-0.677385,-0.604821,-2.27245,-0.28053,-1.25961
-489.597,0.43208,0.179656,4,15,0,497.985,-1.15374,1.16655,1.59484,-1.60725,0.995564,3.68171,-0.252174,-0.253265,-1.9403,-0.376665,-1.34625
-489.953,0.991945,0.179656,4,31,0,494.107,-0.902855,0.339601,1.64752,-1.68236,0.793693,3.61587,-0.300224,0.10013,-0.93037,0.0344682,-1.67071
-489.178,0.979003,0.179656,5,31,0,493.283,-1.71993,1.34992,2.08598,-1.2811,1.47636,3.58481,-0.999688,-0.671905,-1.81309,-0.321902,-0.585763
-487.396,0.986176,0.179656,5,31,0,494.727,-1.50858,0.870145,2.31047,-1.50838,1.17587,3.97957,-0.191032,-0.492822,-1.15776,-0.79734,-2.14204
-491.132,0.558224,0.179656,4,31,0,498.037,-1.168,0.832829,1.94956,-1.56498,1.31771,3.73472,-0.6655,0.0389169,-0.954199,-0.782159,-0.972111
-487.475,1,0.179656,4,31,0,492.009,-1.36224,0.749803,1.93753,-1.56001,1.278,3.60432,-0.634227,-0.0175369,-0.970519,-0.84178,-1.18251
-487.67,0.808134,0.179656,3,15,0,494.046,-1.27008,0.759664,1.9339,-1.69398,1.32637,3.70329,-0.486095,-0.228981,-1.08193,-0.911944,-0.915888
-488.279,0.964469,0.179656,4,31,0,494.863,-1.48675,0.889043,2.11805,-1.56752,1.24819,3.97771,-0.544061,-0.0170445,-1.2831,-0.684834,-0.70015
-492.488,0.958406,0.179656,5,31,0,498.042,-1.53556,1.43562,2.43241,-1.22567,1.20149,4.21466,-0.961214,-0.89429,-2.43524,-0.53009,-0.956271
-490.516,0.985977,0.179656,5,31,0,497.376,-0.738771,0.831926,1.53869,-1.80374,0.71432,2.92664,-0.609881,-0.313261,-0.691596,-0.282994,-1.09705
-490.757,0.99711,0.179656,4,15,0,494.872,-1.1079,0.720403,1.52712,-1.30142,0.853894,4.24137,-0.148313,-0.0866321,-2.15985,-0.021234,-1.11335
-488.97,0.939772,0.179656,4,15,0,492.774,-1.49768,1.26597,2.25787,-1.63414,1.21746,2.98887,-0.881297,-0.488599,-0.367076,-0.799063,-1.20401
-488.679,0.974652,0.179656,4,15,0,490.666,-1.37009,0.817966,1.74588,-1.36312,1.04021,3.97974,-0.132716,-0.210083,-2.02819,-0.402717,-1.35982
-485.854,1,0.179656,4,23,0,492.231,-1.51293,0.961187,2.08212,-1.54487,1.34515,4.26678,-0.357355,-0.423225,-1.75682,-0.867886,-1.30863
-487.102,0.96204,0.179656,5,31,0,490.085,-1.5415,0.593041,2.20694,-1.62691,1.53232,4.053,-0.000142445,-0.207588,-1.0055,-1.19286,-2.18222
-486.006,0.949102,0.179656,5,31,0,488.666,-1.54087,0.893608,2.35335,-1.45526,1.32489,3.7275,-0.411566,-0.0722442,-0.984462,-0.987247,-1.76501
-487.511,0.956731,0.179656,4,15,0,489.364,-1.42659,0.598433,2.3498,-1.45007,1.02984,3.49358,-0.673392,0.067017,-0.532942,-0.752027,-1.94494
-485.911,0.998766,0.179656,4,15,0,490.513,-1.33715,0.842788,1.9285,-1.53637,1.13125,3.06596,-0.357607,-0.4393,-0.823283,-0.456841,-1.08023
-489.352,0.837509,0.179656,4,31,0,492.092,-1.31197,0.612528,2.11951,-1.49209,1.4597,3.94757,-0.544267,-0.522378,-1.39808,-0.900708,-1.57435
-485.773,0.932811,0.179656,3,15,0,492.989,-1.4705,1.01045,1.99014,-1.58649,1.41408,3.53785,-0.417316,-0.657592,-1.05392,-0.736225,-1.38631
-490.285,0.874607,0.179656,4,31,0,492.195,-1.07609,1.18712,1.8841,-1.49701,0.674372,3.35604,-0.707844,0.0366219,-1.74228,-0.179663,-0.886541
-486.07,0.951375,0.179656,4,31,0,493.864,-1.37457,0.784083,2.07298,-1.60863,1.21382,3.66118,-0.490742,-0.189048,-0.734328,-0.366401,-1.41597
-488.061,0.961545,0.179656,4,15,0,490.176,-1.26071,0.696134,1.85481,-1.20531,1.09514,3.79261,-0.0818085,-0.181657,-1.37597,-0.86175,-1.71558
-486.743,0.998493,0.179656,5,31,0,492.078,-1.42125,1.1319,2.31636,-1.86002,1.43338,3.92359,-0.675779,-0.411224,-1.36514,-0.990998,-1.48158
-486.124,0.956873,0.179656,4,15,0,491.166,-1.28941,0.702026,2.0453,-1.30646,1.28626,3.42895,-0.397681,-0.44465,-1.05584,-0.648875,-1.50166
-486.288,0.964207,0.179656,4,31,0,489.93,-1.50962,1.01827,2.04705,-1.65396,1.52394,3.71433,-0.319518,-0.572683,-1.54896,-0.757675,-1.01882
